id,entity_id,category_id,,,,,,,
,118,,#N/A,#N/A,GRAFICA FUTURA SA,www.graficafutura.com,Servicios relacionados con la impresión,"Edición de libros, folletos, y otras publicaciones",
,119,,#N/A,#N/A,GRAND FENIX LAMINADOS SINTETICOS SRL,www.grandfenix.com.ar,"Fabricación de tejidos (telas) planos de fibras textiles n.c.p., incluye hilanderías y tejedurías integradas",,
,120,,#N/A,#N/A,MEVACO ARGENTINA SRL,www.mevaco.com.ar,"Forjado, prensado, estampado y laminado de metales pulvimetalurgia",Venta al por menor de artículos de ferretería y materiales eléctricos,
,121,,#N/A,#N/A,L MALATESTA E HIJOS SA,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Servicio de transporte automotor de cargas n.c.p. (Incluye servicios de transporte de carga refrigerada y transporte pesado),
,122,,#N/A,#N/A,SARAO SA,www.acrilicossarao.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,123,,#N/A,#N/A,CCG ELECTRONICA SA,www.ccg.com.ar,Fabricación de equipo de control de procesos industriales,Venta al por mayor de equipo profesional y científico e instrumentos de medida y de control n.c.p.,
,124,,#N/A,#N/A,MEDITERM SRL,www.mediterm.com,Fabricación de equipo de control de procesos industriales,Venta al por mayor de equipo profesional y científico e instrumentos de medida y de control n.c.p.,
,125,,#N/A,#N/A,TMP NEUQUEN SRL,,"Fabricación de maquinaria y equipo de uso general n.c.p. (Incluye la fabricación de equipos de aire acondicionado, matafuegos, etc.)",,
,126,,#N/A,#N/A,ANTONIO A DAMICO SA,www.adamico.com.ar,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)",Servicios empresariales n.c.p.,
,127,,#N/A,#N/A,CUARIBAR SA,www.cuarsa.com.ar,Fabricación de productos de cerámica refractaria,"Fabricación de productos minerales no metálicos n.c.p. (Incluye la fabricación de abrasivos, lijas, membranas asfálticas, etc.)",
,128,,#N/A,#N/A,PAPELERA ORLANDO SACI,www.papelera-orlando.com.ar,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija: 239900),,
,129,,#N/A,#N/A,UTILMED SRL,www.sugestionmedias.com.ar,Fabricación de medias,,
,130,,#N/A,#N/A,FLARGENT SA,www.flargent.com,"Fabricación de tanques, depósitos y recipientes de metal (Incluye la fabricación de silos)",Servicios de apoyo para la extracción de petróleo y gas natural,
,131,,#N/A,#N/A,GERALDO BLOCH E HIJOS SRL,,Fabricación de productos metálicos de tornería y/o matricería,Fabricación de maquinaria y equipo de uso especial n.c.p.,
,132,,#N/A,#N/A,ARDUINO SRL,www.arduinosrl.com.ar,Fabricación en industrias básicas de productos de hierro y acero n.c.p. (Incluye la producción de hojalata),Venta al por menor de artículos de ferretería y materiales eléctricos,
